"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.320261659E0,4.939854890E-2,-3.829757869E-2,-5.248641968E-2,8.161951616E-2
1.328439774E0,1.083041355E-1,-1.511241123E-2,-3.332614899E-2,1.143188652E-1
1.336638274E0,9.232230484E-3,6.318059564E-2,1.695919037E-2,6.606539096E-2
1.344833890E0,2.528810874E-2,1.103643328E-1,3.372383118E-2,1.181400490E-1
1.353010736E0,-1.755561680E-3,5.943017825E-2,-1.894283295E-2,6.240079330E-2
1.361187736E0,-1.895233430E-2,2.052723616E-2,5.767726898E-2,6.408764122E-2
1.369364043E0,-5.988247693E-2,8.248861879E-3,-6.203079224E-2,8.661278168E-2
1.377540697E0,-2.886258997E-2,3.183775395E-2,4.331684113E-2,6.101672231E-2
1.385718082E0,-3.751497716E-4,7.215382904E-2,-3.808307648E-2,8.158821297E-2
1.393916390E0,3.065930307E-2,7.158856094E-2,4.571819305E-2,9.030541566E-2
1.402092236E0,-2.337151170E-1,1.050032616E0,-1.071600723E1,1.076986547E1
1.410268159E0,-1.125453413E-1,7.055642605E-1,-9.301187515E0,9.328589206E0
1.418445005E0,-9.097214937E-1,-1.731771827E0,3.581928253E0,4.081278827E0
1.426621389E0,-3.701424301E-1,3.538017571E-1,4.115884781E0,4.147612401E0
1.434798236E0,-4.994415343E-1,1.718039215E-1,-1.046026230E0,1.171806002E0
1.442981889E0,4.577316716E-2,-9.234550595E-2,4.670963287E-1,4.783323694E-1
1.451157543E0,9.801197648E-1,-2.459380776E-3,-3.277826309E-1,1.033480651E0
1.459333197E0,-4.048302770E-1,-3.676265478E-1,2.228803635E-1,5.905188297E-1
1.467510966E0,-9.423603117E-2,1.057411134E-1,-5.025644302E-1,5.221423361E-1
1.475687005E0,-2.384027541E-1,2.015143335E-1,5.891933441E-1,6.667778464E-1
1.483864005E0,1.310510337E-1,2.881967723E-1,-2.372741699E-2,3.174818788E-1
1.492040081E0,-2.885840833E-1,-2.245622873E-2,-5.408840179E-1,6.134660351E-1
1.500215812E0,6.548413634E-2,-1.632439047E-1,2.108936310E-1,2.746140348E-1
1.508389158E0,-1.232116856E-2,-6.275943667E-2,-2.104892731E-1,2.199915729E-1
1.516563658E0,1.695704162E-1,1.840420812E-2,1.366720200E-1,2.185682547E-1
1.524736658E0,5.148657039E-2,2.145458758E-1,3.611850739E-2,2.235740287E-1
1.532910312E0,1.074165329E-1,1.135432124E-1,-4.582405090E-3,1.563693418E-1
1.541104466E0,1.547031850E-1,-6.336915493E-2,1.223106384E-1,2.071439536E-1
1.549279735E0,7.108044624E-2,-8.746254444E-2,-8.598518372E-2,1.417588739E-1
1.557455620E0,6.096941978E-2,1.064433157E-2,-3.570556641E-2,7.145249761E-2
1.565631889E0,1.050803810E-3,1.562816799E-1,9.358501434E-2,1.821626267E-1
1.573806735E0,5.655966699E-3,1.536179632E-1,-5.245971680E-2,1.624268773E-1
1.581982158E0,-8.995116502E-2,2.403246239E-2,7.397651672E-3,9.339966053E-2
1.590157581E0,-5.193196982E-2,-4.504881427E-2,-1.654720306E-2,7.071163331E-2
1.598332466E0,-6.836684793E-2,-3.325258940E-2,-9.316158295E-2,1.202449215E-1
1.606507119E0,4.862881824E-2,1.101717353E-1,9.119510651E-2,1.510599903E-1
1.614682043E0,-3.474971652E-2,1.214957386E-1,-9.076118469E-2,1.555839000E-1
1.622855812E0,1.392869651E-1,6.601176411E-2,7.923221588E-2,1.733094218E-1
1.631042158E0,6.276486069E-2,-3.001840226E-2,-3.329467773E-2,7.713020016E-2
1.639235158E0,1.459641159E-1,-1.580991596E-2,-4.765701294E-2,1.543588917E-1
1.647410581E0,3.293588012E-2,4.596179724E-2,9.808540344E-3,5.738873120E-2
1.655585158E0,7.780256867E-2,1.147736534E-1,1.220798492E-2,1.391950650E-1
1.663759542E0,-6.407480687E-3,6.138179451E-2,-2.151489258E-3,6.175280894E-2
1.671935542E0,3.373771906E-4,1.067821681E-2,5.052566528E-2,5.164282128E-2
1.680110427E0,-9.309170395E-2,-8.804760873E-3,-5.960655212E-2,1.108897210E-1
1.688287158E0,-1.913033426E-2,3.178308532E-2,1.461601257E-2,3.987181993E-2
1.696464619E0,-4.308225960E-2,7.213914394E-2,-4.284286499E-2,9.431674433E-2
1.704642542E0,-2.853359878E-1,3.585116863E-1,-1.028044128E1,1.029064722E1
1.712819119E0,-3.728425875E-2,5.521456003E-1,-8.999798775E0,9.016797262E0
1.720995773E0,-1.011980295E0,1.203321338E0,-2.164334297E0,2.675150334E0
1.729191734E0,-3.437687457E-1,-6.961759925E-2,3.600907326E0,3.617949299E0
1.737366888E0,-4.074823111E-3,1.307006031E-1,-1.424514771E0,1.430503961E0
1.745542657E0,-1.663463861E-1,7.241778821E-2,1.079813004E0,1.094948208E0
1.753718734E0,6.736766696E-1,1.543098390E-1,-1.005287170E-1,6.983965954E-1
1.761896080E0,-2.497635186E-1,-4.833372831E-1,1.101570129E-1,5.550957683E-1
1.770071927E0,-2.405583411E-1,6.270738691E-2,-6.057109833E-1,6.547414201E-1
1.778249003E0,-9.856566787E-2,3.162715137E-1,3.854875565E-1,5.082750411E-1
1.786425619E0,-8.930607140E-2,2.709923983E-1,3.759107590E-1,4.719336320E-1
1.794601196E0,-2.796781659E-1,1.416219175E-1,-7.206344604E-1,7.858693718E-1
1.802775965E0,-2.855627798E-2,-1.474914253E-1,6.225118637E-1,6.403828558E-1
1.810950311E0,1.153917685E-1,-8.009239286E-2,-2.872848511E-1,3.197852987E-1
1.819123773E0,1.156253889E-1,2.506254427E-2,9.339332581E-2,1.507304713E-1
1.827317619E0,1.888810247E-1,3.038540781E-1,2.250766754E-1,4.226852873E-1
1.835512849E0,3.656813502E-2,1.750982404E-1,-9.813785553E-2,2.040285788E-1
1.843688734E0,1.961688250E-1,-1.223083958E-2,7.424736023E-2,2.101058587E-1
1.851863734E0,3.111072630E-2,-7.506400347E-2,-8.376979828E-2,1.167041602E-1
1.860037465E0,1.024467275E-1,5.126994103E-2,-9.095001221E-2,1.462731812E-1
1.868210426E0,-4.847377911E-2,1.844913512E-1,5.270385742E-2,1.979001327E-1
1.876383080E0,1.833833940E-2,2.407500893E-1,-5.263710022E-2,2.471185232E-1
1.884585426E0,-1.228651553E-1,6.005480140E-2,-2.390384674E-2,1.388301821E-1
1.892758734E0,3.003793769E-2,-1.721673645E-2,5.750083923E-2,6.711959645E-2
1.900932272E0,-7.256987691E-2,-5.585600436E-2,-1.364297867E-1,1.643148409E-1
1.909106003E0,1.257599592E-1,1.351350546E-1,1.005992889E-1,2.102314611E-1
1.917279234E0,8.676684462E-3,1.725149602E-1,-7.417583466E-2,1.879860388E-1
1.925453118E0,1.807678044E-1,1.355773956E-1,3.596115112E-2,2.288043568E-1
1.933647003E0,1.030735075E-1,-2.378520928E-2,2.448081970E-3,1.058105725E-1
1.941822311E0,1.452511996E-1,-2.009626850E-2,-4.782581329E-2,1.542370883E-1
1.949998310E0,5.072146282E-2,5.762861669E-2,4.852294922E-3,7.692378707E-2
1.958174349E0,6.158768386E-2,1.350606829E-1,1.204204559E-2,1.489276392E-1
1.966349926E0,-1.134853996E-2,1.072148532E-1,-4.710197449E-3,1.079166348E-1
1.974524580E0,-7.393801119E-3,5.582163110E-2,3.599643707E-2,6.683162632E-2
1.982698887E0,-6.514875591E-2,-2.490140498E-3,-3.822040558E-2,7.557354430E-2
1.990874156E0,-1.988747343E-2,3.510648012E-2,2.484321594E-3,4.042460142E-2
1.999050772E0,-3.569806926E-3,8.941114694E-2,2.403450012E-2,9.265394711E-2
2.007228195E0,2.262239717E-2,1.266048551E-1,-1.666164398E-2,1.296848972E-1
2.015405195E0,6.268996745E-2,7.296466827E-2,5.756378174E-2,1.121047002E-1
2.023579926E0,-3.576638699E-1,1.685300469E-1,-9.784984589E0,9.792969377E0
2.031774233E0,-1.257545203E-1,-6.908340454E-1,-4.577690601E0,4.631232786E0
2.039952041E0,-3.274589479E-1,4.241631627E-1,1.881860733E0,1.956666443E0
2.048128887E0,-5.723541379E-1,2.815138996E-1,4.505911827E0,4.550832971E0
2.056305964E0,-3.415409476E-2,7.405979037E-1,-2.691047192E0,2.791305563E0
2.064481464E0,-7.408868521E-3,-5.236344412E-3,1.654426575E0,1.654451450E0
2.072656272E0,4.020903111E-1,-3.104550764E-3,-3.231830597E-1,5.158813299E-1
2.080832656E0,-2.103949189E-1,-5.257724524E-1,9.579563141E-2,5.743513703E-1
2.089008079E0,-1.081072316E-1,2.091905475E-1,-4.546260834E-2,2.398222413E-1
2.097184079E0,-1.641737223E-1,4.262702763E-1,2.801513672E-1,5.358583284E-1
2.105360579E0,1.427887380E-2,2.277983427E-1,2.370548248E-1,3.290759200E-1
2.113535156E0,-9.965135157E-2,1.370820552E-1,-7.685108185E-1,7.869757047E-1
2.121712694E0,-2.464059927E-2,-1.930306107E-1,5.722408295E-1,6.044233142E-1
2.129905194E0,1.335376203E-1,-7.552623749E-2,-1.460199356E-1,2.117978522E-1
2.138080925E0,1.692777276E-1,3.872810677E-2,1.053724289E-1,2.031210577E-1
2.146258271E0,2.571340203E-1,3.201064169E-1,1.293172836E-1,4.304752983E-1
2.154434348E0,4.169506207E-2,1.842764318E-1,4.823684692E-3,1.889961625E-1
2.162609810E0,1.820058078E-1,-3.431066126E-2,-2.869224548E-2,1.874208646E-1
2.170785194E0,6.918145344E-3,-1.137774512E-1,1.919269562E-2,1.155920789E-1
2.178960271E0,7.118322700E-2,1.990309730E-2,-9.572792053E-2,1.209422170E-1
2.187136386E0,-8.455501497E-2,2.105970383E-1,5.510997772E-2,2.335332369E-1
2.195310848E0,1.330205612E-2,2.430741489E-1,-3.826141357E-2,2.464263020E-1
2.203484925E0,-1.088373438E-1,7.440421730E-2,-6.219959259E-2,1.457749782E-1
2.211659771E0,4.174702242E-2,-5.282160640E-2,4.554080963E-2,8.128284767E-2
2.219855848E0,-4.915705696E-2,-7.464405894E-2,-1.052932739E-1,1.381116408E-1
2.228030925E0,1.276726127E-1,9.980840236E-2,1.006088257E-1,1.907462949E-1
2.236205617E0,4.390206560E-2,1.853475124E-1,-7.655906677E-2,2.052860989E-1
2.244380232E0,1.793352813E-1,1.549453735E-1,4.076290131E-2,2.404804067E-1
2.252555232E0,9.926096350E-2,-2.089726925E-2,-2.328872681E-3,1.014635816E-1
2.260730694E0,1.221852675E-1,-4.345526546E-2,-1.908397675E-2,1.310793571E-1
2.268905771E0,3.956107795E-2,3.237607330E-2,-9.503364563E-3,5.199618206E-2
2.277080386E0,3.861668706E-2,1.459304392E-1,5.275154114E-2,1.599051804E-1
2.285256386E0,-8.090743795E-4,1.446111202E-1,4.874229431E-3,1.446955038E-1
2.293432271E0,-3.008621745E-2,5.009035021E-2,3.121662140E-2,6.624727252E-2
2.301609348E0,-6.158901751E-2,-2.224215493E-2,-2.624320984E-2,7.054520959E-2
2.309785617E0,-9.013799950E-3,1.070123166E-2,2.490997314E-3,1.421161554E-2
2.317981348E0,2.637820318E-2,8.911222219E-2,3.122520447E-2,9.803984466E-2
2.326175386E0,4.769242555E-2,1.360010505E-1,-4.684448242E-3,1.441970778E-1
2.334350501E0,5.352250934E-1,1.426485300E0,8.836870193E-1,1.761314555E0
2.342525001E0,-6.680825949E-1,-1.354509592E-1,-8.822010040E0,8.848307322E0
2.350700078E0,-9.600725174E-1,-1.468685150E0,1.420164108E0,2.257352742E0
2.358875886E0,2.768600583E-1,4.272341132E-1,6.301874161E0,6.322404481E0
2.367051501E0,2.424335480E-1,6.576718688E-1,-7.586574554E-1,1.032892757E0
2.375246924E0,-2.290260233E-2,1.161458641E-1,1.367683411E-1,1.808866221E-1
2.383421963E0,6.709275246E-1,-2.143180668E-1,-4.280090332E-2,7.056258884E-1
2.391597270E0,-5.314471126E-1,-4.529999793E-1,2.349224091E-1,7.367723888E-1
2.399771924E0,-2.086166292E-1,1.646000892E-2,-1.084289551E0,1.104298719E0
2.407946424E0,-7.218042016E-2,2.417192757E-1,6.036224365E-1,6.542157650E-1
2.416121770E0,5.146553740E-3,3.837589920E-1,2.373018265E-1,4.512312132E-1
2.424304309E0,-2.781606317E-1,6.298395991E-2,-6.509504318E-1,7.106875410E-1
2.432478578E0,1.607616544E-1,-2.210435569E-1,3.210926056E-1,4.216693313E-1
2.440652693E0,5.856476724E-2,-2.278368175E-1,-3.014039993E-1,3.823399249E-1
2.448826732E0,2.141868323E-1,-2.887298539E-2,5.533027649E-2,2.230943476E-1
2.457000885E0,1.157361865E-1,2.920137048E-1,1.750402451E-1,3.595913737E-1
2.465174962E0,1.927854568E-1,1.793146580E-1,2.641677856E-4,2.632870083E-1
2.473347885E0,2.133909017E-1,-6.250347942E-2,1.678600311E-1,2.786024980E-1
